route,stop_num,name,direction
1,1,улицатруфанова,f
1,2,проспектдзержинского,f
1,3,улицапионерская,f
1,4,улицаурицкого,f
1,5,домодежды,f
1,6,жилойкомплексоктябрь,f
1,7,улицаурицкого,f
1,8,улицаеленыколесовой,f
1,9,областнаядетскаяклиническаябольница,f
1,10,сельхозакадемия,f
1,11,парижскаякоммуна,f
1,12,техуглерод,f
1,13,лакокраска,f
1,14,ниимск,f
1,15,ямз,f
1,16,областнаяонкологическаябольница,f
1,17,площадькарламаркса,f
1,18,улицапобеды,f
1,19,улицареспубликанская,f
1,20,краснаяплощадь,f
1,21,площадьволкова,f
1,22,улицакомсомольская,f
1,23,улицабольшаяфедоровская,f
1,24,выемка,f
1,25,московскийвокзал,f
1,26,жкярославльсити,f
1,27,автовокзал,f
1,28,техническийуниверситет,f
1,29,арена-2000,f
1,30,улицапавлова,f
1,31,крестобогородская,f
1,32,улицакалинина,f
1,33,новоселки,f
1,34,новоселки,b
1,35,улицакалинина,b
1,36,крестобогородская,b
1,37,улицаслепнева,b
1,38,арена-2000,b
1,39,техническийуниверситет,b
1,40,автовокзал,b
1,41,московскийвокзал,b
1,42,выемка,b
1,43,улицабольшаяфедоровская,b
1,44,улицапервомайская,b
1,45,площадьволкова,b
1,46,краснаяплощадь,b
1,47,улицареспубликанская,b
1,48,улицапобеды,b
1,49,площадькарламаркса,b
1,50,областнаяонкологическаябольница,b
1,51,ямз,b
1,52,ниимск,b
1,53,лакокраска,b
1,54,техуглерод,b
1,55,парижскаякоммуна,b
1,56,сельхозакадемия,b
1,57,областнаядетскаяклиническаябольница,b
1,58,улицаеленыколесовой,b
1,59,жилойкомплексоктябрь,b
1,60,домодежды,b
1,61,улицаурицкого,b
1,62,проспектдзержинского,b
1,63,кинотеатрпобеда,b
1,64,улицатруфанова,b
2,1,бытовыетовары,f
2,2,улицарыкачева,f
2,3,улицаменделеева,f
2,4,спорткомплексатлант,f
2,5,больничныйгородок,f
2,6,арена-2000,f
2,7,улицагагарина,f
2,8,техническийуниверситет,f
2,9,автовокзал,f
2,10,московскийвокзал,f
2,11,выемка,f
2,12,улицабольшаяфедоровская,f
2,13,улицапервомайская,f
2,14,краснаяплощадь,f
2,15,кинотеатрродина,f
2,16,проспектленина,f
2,17,проспектленина,b
2,18,кинотеатрродина,b
2,19,краснаяплощадь,b
2,20,площадьволкова,b
2,21,улицакомсомольская,b
2,22,улицабольшаяфедоровская,b
2,23,выемка,b
2,24,московскийвокзал,b
2,25,жкярославльсити,b
2,26,автовокзал,b
2,27,техническийуниверситет,b
2,28,улицагагарина,b
2,29,больничныйгородок,b
2,30,спорткомплексатлант,b
2,31,улицаменделеева,b
2,32,бытовыетовары,b
2К,1,спорткомплексатлант,f
2К,2,улицаменделеева,f
2К,3,улицанефтяников,f
2К,4,хлебозавод2,f
2К,5,стройучасток2,f
2К,6,жбк,f
2К,7,трест7,f
2К,8,базаоборудования,f
2К,9,тсб,f
2К,10,битумныйзавод,f
2К,11,яртехуглерод,f
2К,12,тэц-3,f
2К,13,тэц-3,b
2К,14,яртехуглерод,b
2К,15,битумныйзавод,b
2К,16,тсб,b
2К,17,базаоборудования,b
2К,18,трест7,b
2К,19,жбк,b
2К,20,стройучасток2,b
2К,21,хлебозавод2,b
2К,22,улицарыкачева,b
2К,23,улицаменделеева,b
2К,24,спорткомплексатлант,b
2К,25,больничныйгородок,b
2К,26,арена-2000,b
4,1,школа88,f
4,2,улицапирогова,f
4,3,улицаиндустриальная,f
4,4,радиозавод,f
4,5,больница2,f
4,6,нефтебаза,f
