Column1;route;length;S_vehicle;M_vehicle;L_vehicle;XL_vehicle;from;to
2;1;23;0;0;18;0;Улица Волгоградская ; 5 МКР
3;2;9,9;1;7;0;0;Улица Большие Полянки;ЯШЗ
4;2К;7;0;1;0;0;Больничный городок ; НПЗ
5;4;15,6;0;5;8;0;Улица Ярославская ; Ярославль Главный
6;4А;15;0;2;0;0;Богоявленская площадь ; поселок Октябрьский
7;4К;7;0;0;1;0;Богоявленская площадь ; улица Спортивная
8;5;15,9;0;0;1;0;Богоявленская площадь ; Осташинское кладбище
9;5А;10,6;0;0;1;0;Богоявленская площадь;Осташинское кладбище
10;5Б;7,4;0;0;1;0;15 МКР ; Осташинское кладбище
11;6;15,3;0;3;4;0;ЯШЗ ; НЗКИ
12;7;18;9;0;0;0;Улица Гудованцева ; 15 МКР
13;8;24;0;0;24;0;ТРК «Ярославский Вернисаж» ; 15 МКР
14;9;13,4;0;7;2;0;Ярославль Главный ; ТЦ «Аксон»
15;10;12,1;0;0;10;0;15 МКР ; НЗКИ
16;11;15,7;0;0;7;6;Ярославль Главный ; 15 МКР
17;11Т;14,9;0;0;1;0;Торговый переулок ; 15 МКР
18;12;12,2;0;0;4;0;Нижний поселок ; Торговый переулок
19;13;18,6;12;4;0;0;5 МКР; Машприбор
20;14;10,1;0;0;1;0;Богоявленская площадь ; Игнатовское кладбище
21;15;19,4;0;0;1;0;15 МКР ; Игнатовское кладбище
22;17;11,1;0;3;6;0;ЯШЗ;поселокИвняки
23;18;18,8;0;0;12;0;Торговый переулок ; 15 МКР
24;18К;10,3;0;0;1;0;Красная площадь; поселок Карачиха
25;19;12,2;0;0;5;0;Химзавод «Луч»; улица Гудованцева
26;19К;7,8;0;0;8;0;Улица Гудованцева; Красная площадь
27;21;20,5;0;8;6;0;Красная площадь; Очапки
28;21Б;22,6;0;3;0;0;Резинотехника ; улица Павлова
29;21Т;9,7;1;0;0;0;Поселок Толга ; Очапки
30;22;12,8;0;6;0;0;ЯМЗ ; Нижний поселок
31;22С;7,1;0;2;0;0;Красная площадь ; Студенческийгородок
32;23;19,8;0;0;9;0;Областная больница ; 15 МКР
33;24;8,4;0;0;2;0;ЯШЗ ; Долматово
34;25;26,7;0;8;6;0;15 МКР ; Машприбор
35;26;6;0;0;1;0;Красная площадь ; Филино
36;27;8,5;0;2;0;0;ЯШЗ ;Софийская церковь
37;28;10,4;0;0;1;0;ЯШЗ ; Машприбор
38;29;8,5;0;1;0;0;Машприбор; Тверицы
39;30;12,9;0;0;13;2;Ярославль Главный ; Машприбор
40;32;12,9;0;10;0;0;Улица Сахарова ; торгово-развлекательный комплекс «РИО»
41;32П;15,2;0;0;1;0;Арена-2000 ; улица Сахарова
42;32Т;8,1;0;0;1;0;Торговый переулок ; улица Сахарова
43;33;16,1;0;0;10;0;ПАТП № 1 ; Областная больница
44;34;15,2;0;1;0;0;Красная площадь ; Толгский монастырь
45;39;14,9;0;8;0;0;Студенческий городок ; Нижний поселок
46;40;20,6;0;7;0;0;Резинотехника ; Машприбор
47;40К;20,7;1;0;0;0;Резинотехника ; Студенческий городок
48;41;18,1;0;6;0;0;Ярославль Главный ; поселок Прибрежный
49;41А;12,3;0;0;0;14;ТРК «Ярославский Вернисаж» ; поселок Куйбышева
50;41Б;12;0;0;10;0;Богоявленская площадь ; улица Индустри-альная
51;41К;8,4;0;0;1;0;Богоявленская площадь ; улица Светлая
52;41П;12,1;0;0;1;0;Арена-2000 ; улица Индустри-альная
53;42;24,4;0;0;24;0;15 МКР ; поселок Куйбышева
54;42П;20,8;0;0;1;0;Арена-2000 ; ЯЗХМ
55;43;8,6;0;4;0;0;Торговый переулок ; улица Космонавтов
56;44К;6,1;0;0;9;0;Торговый переулок ; улица Автозаводская
57;49;28,5;0;15;0;0;Больница № 2; 15 МКР
58;53;16,4;0;0;6;0;ПАТП №1; улица Сахарова
59;55;16,1;0;8;0;0;Машприбор;ЯрославльГлавный
60;56;26,6;0;12;4;0;Поселок Прибрежный ; Машприбор
61;57;22,8;0;12;4;0;Фабрика «Красный Перевал»; улица Гудованцева
62;58;26,3;0;15;0;0;Нижний поселок; фабрика «Красный Перевал»
63;59;14,2;5;0;0;0;Ярославль Главный; Областная больница
64;62;26,9;0;12;0;0;15 МКР ; улица 1-я Технологи-ческая 
65;64;16,9;7;0;0;0;Ярославль Главный ; улица Сиреневая
66;65;17;8;0;0;0;ЯЗХМ; улица 8 Марта
67;66;26,8;0;20;0;0;НЗКИ; Больничный городок
68;68;15;0;10;0;0;Улица Космонавтов ; улица Большие Полянки
69;70;9;4;0;0;0;Фабрика «Красный перевал» ; улица Труфанова
70;71;25,95;0;5;0;0;5 МКР ; Холодмаш
71;71;25,95;0;5;0;0;5 МКР;Холодмаш
72;76;10,5;0;0;10;0;ТРК «Ярославский Вернисаж» ; Ярославль Главный
73;77;9;4;0;0;0;Улица Труфанова ; фабрика «Красный перевал»
74;78П;22,4;0;0;1;0;Арена-2000 ; 15 МКР
75;79;25,5;14;0;0;0;ТЦ «Аксон» ; поселок Куйбышева
76;84;23;5;0;0;0;Поселок Куйбышева ; Областная больница
77;84;23;5;0;0;0;Поселок Куйбышева ; Областная больница
78;85;20,2;0;5;5;0;Поселок Ивняки; Машприбор
79;90С;20,4;0;13;0;0;ТЦ «Аксон» ; Областная больница
80;92;9;4;0;0;0;Улица Павлова ; ЯШЗ
81;93Г;25,4;0;0;10;0;Очапки ; Ярославль Главный
82;94;16;7;0;0;0;Улица Чкалова ; 5 МКР
83;94;16;8;0;0;0;Улица Чкалова ; 5 МКР
84;94;16;5;0;0;0;Улица Чкалова ; 5 МКР
85;97;20,4;0;25;0;0;14 МКР ; улица Большие Полянки
86;99С;11;0;11;0;0;Улица Сахарова ; Ярославль Главный
87;1;5,7;0;0;12;0;Ярославль Главный ; ЯШЗ
88;2;10,5;0;0;0;0;Октябрьская площадь ; улица Громова
89;3;13,9;0;0;7;0;Ярославль Главный ; фабрика «Красный перевал»
90;3К;8,3;0;0;0;0;Ярославль Главный ; торгово-развлекательный комплекс «РИО»
91;4;12,8;0;0;7;0;Торговый переулок ; фабрика «Красный перевал»
92;5;10,2;0;0;14;0;Улица Рыкачева ; Ярославль Главный
93;7;10,5;0;0;7;0;Улица Волгоградская ; Октябрьская площадь
94;8;12,2;0;0;11;1;Улица Волгоградская ; Торговый переулок
95;9;8,5;0;0;10;5;Улица Нефтяников ; ЯШЗ
96;1;4,6;0;0;8;0;Улица Свердлова ; улица Чкалова
97;5;15,65;0;0;17;0;Улица Чкалова ; Больница № 9
98;6;11, 15;0;0;4;0;Улица Автозаводская ; улица Блюхера
99;7;13,2;0;0;15;0;Улица Свердлова ; улица Волгоградская
100;9;10,3;0;0;0;0;Улица Блюхера ; улица Свердлова
