route,stop_num,name,direction
1,1,262,f
1,2,136,f
1,3,240,f
1,4,263,f
1,5,49,f
1,6,57,f
1,7,263,f
1,8,202,f
1,9,108,f
1,10,148,f
1,11,114,f
1,12,167,f
1,13,77,f
1,14,103,f
1,15,307,f
1,16,109,f
1,17,120,f
1,18,242,f
1,19,245,f
1,20,73,f
1,21,119,f
1,22,212,f
1,23,187,f
1,24,40,f
1,25,96,f
1,26,53,f
1,27,19,f
1,28,166,f
1,29,22,f
1,30,234,f
1,31,75,f
1,32,210,f
1,33,106,f
1,34,106,b
1,35,210,b
1,36,75,b
1,37,255,b
1,38,22,b
1,39,166,b
1,40,19,b
1,41,96,b
1,42,40,b
1,43,187,b
1,44,239,b
1,45,119,b
1,46,73,b
1,47,245,b
1,48,242,b
1,49,120,b
1,50,109,b
1,51,307,b
1,52,103,b
1,53,77,b
1,54,167,b
1,55,114,b
1,56,148,b
1,57,108,b
1,58,202,b
1,59,57,b
1,60,49,b
1,61,263,b
1,62,136,b
1,63,68,b
1,64,262,b
2,1,38,f
2,2,248,f
2,3,229,f
2,4,152,f
2,5,32,f
2,6,22,f
2,7,193,f
2,8,166,f
2,9,19,f
2,10,96,f
2,11,40,f
2,12,187,f
2,13,239,f
2,14,73,f
2,15,69,f
2,16,137,f
2,17,137,b
2,18,69,b
2,19,73,b
2,20,119,b
2,21,212,b
2,22,187,b
2,23,40,b
2,24,96,b
2,25,53,b
2,26,19,b
2,27,166,b
2,28,193,b
2,29,32,b
2,30,152,b
2,31,229,b
2,32,38,b
2К,1,152,f
2К,2,229,f
2К,3,232,f
2К,4,280,f
2К,5,155,f
2К,6,51,f
2К,7,172,f
2К,8,24,f
2К,9,159,f
2К,10,25,f
2К,11,312,f
2К,12,163,f
2К,13,163,b
2К,14,312,b
2К,15,25,b
2К,16,159,b
2К,17,24,b
2К,18,172,b
2К,19,51,b
2К,20,155,b
2К,21,280,b
2К,22,248,b
2К,23,229,b
2К,24,152,b
2К,25,32,b
2К,26,22,b
4,1,300,f
4,2,241,f
4,3,209,f
4,4,141,f
4,5,29,f
4,6,105,f
4,7,259,f
4,8,213,f
4,9,208,f
4,10,164,f
4,11,301,f
4,12,154,f
4,13,144,f
4,14,39,f
4,15,228,f
4,16,227,f
4,17,239,f
4,18,60,f
4,19,122,f
4,20,121,f
4,21,139,f
4,22,55,f
4,23,123,f
4,24,123,b
4,25,55,b
4,26,139,b
4,27,121,b
4,28,122,b
4,29,212,b
4,30,227,b
4,31,228,b
4,32,39,b
4,33,144,b
4,34,154,b
4,35,301,b
4,36,164,b
4,37,208,b
4,38,213,b
4,39,259,b
4,40,105,b
4,41,29,b
4,42,141,b
4,43,209,b
4,44,241,b
4,45,300,b
4А,1,227,f
4А,2,228,f
4А,3,39,f
4А,4,144,f
4А,5,154,f
4А,6,301,f
4А,7,164,f
4А,8,208,f
4А,9,213,f
4А,10,259,f
4А,11,252,f
4А,12,243,f
4А,13,29,f
4А,14,241,f
4А,15,209,f
4А,16,141,f
4А,17,141,b
4А,18,209,b
4А,19,241,b
4А,20,29,b
4А,21,243,b
4А,22,252,b
4А,23,259,b
4А,24,213,b
4А,25,208,b
4А,26,164,b
4А,27,301,b
4А,28,154,b
4А,29,144,b
4А,30,39,b
4А,31,228,b
4А,32,227,b
4К,1,227,f
4К,2,228,f
4К,3,39,f
4К,4,144,f
4К,5,154,f
4К,6,301,f
4К,7,164,f
4К,8,208,f
4К,9,213,f
4К,10,213,b
4К,11,208,b
4К,12,164,b
4К,13,301,b
4К,14,154,b
4К,15,144,b
4К,16,39,b
4К,17,228,b
4К,18,227,b
5,1,239,f
5,2,73,f
5,3,245,f
5,4,242,f
5,5,120,f
5,6,109,f
5,7,307,f
5,8,103,f
5,9,77,f
5,10,167,f
5,11,161,f
5,12,171,f
5,13,202,f
5,14,263,f
5,15,136,f
5,16,117,f
5,17,196,f
5,18,196,b
5,19,117,b
5,20,136,b
5,21,240,b
5,22,263,b
5,23,171,b
5,24,161,b
5,25,169,b
5,26,77,b
5,27,103,b
5,28,307,b
5,29,109,b
5,30,120,b
5,31,242,b
5,32,245,b
5,33,73,b
5,34,119,b
5,35,212,b
5А,1,239,f
5А,2,73,f
5А,3,245,f
5А,4,242,f
5А,5,120,f
5А,6,62,f
5А,7,267,f
5А,8,184,f
5А,9,204,f
5А,10,200,f
5А,11,204,b
5А,12,184,b
5А,13,267,b
5А,14,62,b
5А,15,120,b
5А,16,242,b
5А,17,245,b
5А,18,73,b
5А,19,119,b
5А,20,212,b
5Б,1,298,f
5Б,2,6,f
5Б,3,191,f
5Б,4,14,f
5Б,5,235,f
5Б,6,136,f
5Б,7,117,f
5Б,8,196,f
5Б,9,196,b
5Б,10,117,b
5Б,11,136,b
5Б,12,136,b
5Б,13,235,b
5Б,14,14,b
5Б,15,191,b
5Б,16,6,b
5Б,17,298,b
6,1,189,f
6,2,120,f
6,3,109,f
6,4,307,f
6,5,103,f
6,6,77,f
6,7,167,f
6,8,114,f
6,9,148,f
6,10,108,f
6,11,202,f
6,12,263,f
6,13,112,f
6,14,125,f
6,15,97,f
6,16,309,f
6,17,31,f
6,18,4,f
6,19,238,f
6,20,274,f
6,21,52,f
6,22,246,f
6,23,289,b
6,24,215,b
6,25,143,b
6,26,218,b
6,27,173,b
6,28,274,b
6,29,238,b
6,30,4,b
6,31,31,b
6,32,309,b
6,33,97,b
6,34,125,b
6,35,112,b
6,36,202,b
6,37,108,b
6,38,148,b
6,39,114,b
6,40,167,b
6,41,77,b
6,42,103,b
6,43,307,b
6,44,109,b
6,45,120,b
6,46,189,b
6,47,137,b
7,1,205,f
7,2,46,f
7,3,226,f
7,4,71,f
7,5,207,f
7,6,211,f
7,7,186,f
7,8,253,f
7,9,303,f
7,10,120,f
7,11,,f
7,12,103,f
7,13,77,f
7,14,167,f
7,15,161,f
7,16,171,f
7,17,202,f
7,18,263,f
7,19,240,f
7,20,136,f
7,21,235,f
7,22,14,f
7,23,191,f
7,24,6,f
7,25,298,f
7,26,298,b
7,27,6,b
7,28,191,b
7,29,14,b
7,30,235,b
7,31,136,b
7,32,240,b
7,33,263,b
7,34,171,b
7,35,161,b
7,36,169,b
7,37,77,b
7,38,103,b
7,39,,b
7,40,120,b
7,41,303,b
7,42,253,b
7,43,186,b
7,44,211,b
7,45,207,b
7,46,71,b
7,47,216,b
7,48,183,b
7,49,197,b
8,1,210,f
8,2,233,f
8,3,201,f
8,4,255,f
8,5,287,f
8,6,30,f
8,7,194,f
8,8,54,f
8,9,96,f
8,10,40,f
8,11,187,f
8,12,239,f
8,13,122,f
8,14,121,f
8,15,139,f
8,16,55,f
8,17,123,f
8,18,311,f
8,19,123,f
8,20,304,f
8,21,42,f
8,22,204,f
8,23,200,f
8,24,307,f
8,25,244,f
8,26,51,f
8,27,20,f
8,28,230,f
8,29,202,f
8,30,263,f
8,31,240,f
8,32,136,f
8,33,235,f
8,34,,f
8,35,6,f
8,36,298,f
8,37,298,b
8,38,6,b
8,39,,b
8,40,136,b
8,41,240,b
8,42,263,b
8,43,230,b
8,44,20,b
8,45,51,b
8,46,244,b
8,47,307,b
8,48,268,b
8,49,204,b
8,50,79,b
8,51,42,b
8,52,137,b
8,53,123,b
8,54,311,b
8,55,123,b
8,56,55,b
8,57,139,b
8,58,121,b
8,59,122,b
8,60,212,b
8,61,187,b
8,62,40,b
8,63,96,b
8,64,140,b
8,65,54,b
8,66,194,b
8,67,30,b
8,68,287,b
8,69,255,b
8,70,201,b
8,71,233,b
8,72,210,b
9,1,123,f
9,2,48,f
9,3,217,f
9,4,303,f
9,5,120,f
9,6,109,f
9,7,307,f
9,8,103,f
9,9,77,f
9,10,167,f
9,11,161,f
9,12,171,f
9,13,202,f
9,14,263,f
9,15,136,f
9,16,117,f
9,17,196,f
9,18,291,f
9,19,235,f
9,20,306,b
9,21,196,b
9,22,117,b
9,23,240,b
9,24,136,b
9,25,240,b
9,26,263,b
9,27,171,b
9,28,161,b
9,29,169,b
9,30,77,b
9,31,103,b
9,32,307,b
9,33,109,b
9,34,120,b
9,35,303,b
9,36,217,b
9,37,86,b
9,38,123,b
10,1,298,f
10,2,6,f
10,3,191,f
10,4,14,f
10,5,235,f
10,6,136,f
10,7,240,f
10,8,263,f
10,9,49,f
10,10,57,f
10,11,263,f
10,12,112,f
10,13,125,f
10,14,97,f
10,15,309,f
10,16,31,f
10,17,4,f
10,18,238,f
10,19,274,f
10,20,173,f
10,21,218,f
10,22,143,f
10,23,215,f
10,24,289,f
10,25,289,b
10,26,215,b
10,27,143,b
10,28,218,b
10,29,173,b
10,30,274,b
10,31,238,b
10,32,4,b
10,33,31,b
10,34,309,b
10,35,97,b
10,36,125,b
10,37,112,b
10,38,57,b
10,39,49,b
10,40,263,b
10,41,240,b
10,42,136,b
10,43,235,b
10,44,14,b
10,45,191,b
10,46,6,b
10,47,298,b
11,1,123,f
11,2,48,f
11,3,217,f
11,4,303,f
11,5,120,f
11,6,109,f
11,7,307,f
11,8,103,f
11,9,77,f
11,10,167,f
11,11,114,f
11,12,148,f
11,13,108,f
11,14,202,f
11,15,57,f
11,16,49,f
11,17,263,f
11,18,240,f
11,19,136,f
11,20,235,f
11,21,14,f
11,22,191,f
11,23,6,f
11,24,298,f
11,25,298,b
11,26,6,b
11,27,191,b
11,28,14,b
11,29,235,b
11,30,136,b
11,31,240,b
11,32,263,b
11,33,49,b
11,34,57,b
11,35,263,b
11,36,202,b
11,37,108,b
11,38,148,b
11,39,114,b
11,40,167,b
11,41,77,b
11,42,103,b
11,43,307,b
11,44,109,b
11,45,120,b
11,46,303,b
11,47,217,b
11,48,86,b
11,49,123,b
11Т,1,73,f
11Т,2,245,f
11Т,3,242,f
11Т,4,120,f
11Т,5,109,f
11Т,6,307,f
11Т,7,103,f
11Т,8,77,f
11Т,9,167,f
11Т,10,114,f
11Т,11,148,f
11Т,12,108,f
11Т,13,202,f
11Т,14,57,f
11Т,15,49,f
11Т,16,263,f
11Т,17,240,f
11Т,18,136,f
11Т,19,235,f
11Т,20,14,f
11Т,21,191,f
11Т,22,6,f
11Т,23,298,f
11Т,24,298,b
11Т,25,6,b
11Т,26,191,b
11Т,27,14,b
11Т,28,235,b
11Т,29,136,b
11Т,30,240,b
11Т,31,263,b
11Т,32,49,b
11Т,33,57,b
11Т,34,263,b
11Т,35,202,b
11Т,36,108,b
11Т,37,148,b
11Т,38,114,b
11Т,39,167,b
11Т,40,77,b
11Т,41,103,b
11Т,42,307,b
11Т,43,109,b
11Т,44,120,b
11Т,45,242,b
11Т,46,245,b
11Т,47,73,b
11Т,48,119,b
12,1,297,f
12,2,175,f
12,3,294,f
12,4,153,f
12,5,269,f
12,6,272,f
12,7,94,f
12,8,15,f
12,9,293,f
12,10,296,f
12,11,198,f
12,12,110,f
12,13,242,f
12,14,245,f
12,15,73,f
12,16,119,f
12,17,73,b
12,18,245,b
12,19,242,b
12,20,110,b
12,21,198,b
12,22,296,b
12,23,293,b
12,24,15,b
12,25,94,b
12,26,272,b
12,27,269,b
12,28,153,b
12,29,294,b
12,30,175,b
12,31,297,b
13,1,106,f
13,2,233,f
13,3,201,f
13,4,255,f
13,5,287,f
13,6,30,f
13,7,194,f
13,8,54,f
13,9,96,f
13,10,40,f
13,11,187,f
13,12,239,f
13,13,119,f
13,14,73,f
13,15,110,f
13,16,198,f
13,17,296,f
13,18,220,f
13,19,214,f
13,20,138,f
13,21,134,f
13,22,66,f
13,23,249,f
13,24,237,f
13,25,295,f
13,26,250,f
13,27,281,f
13,28,146,f
13,29,305,f
13,30,305,b
13,31,146,b
13,32,281,b
13,33,250,b
13,34,237,b
13,35,249,b
13,36,66,b
13,37,134,b
13,38,138,b
13,39,214,b
13,40,220,b
13,41,296,b
13,42,198,b
13,43,110,b
13,44,73,b
13,45,119,b
13,46,212,b
13,47,187,b
13,48,40,b
13,49,96,b
13,50,140,b
13,51,54,b
13,52,194,b
13,53,30,b
13,54,287,b
13,55,255,b
13,56,201,b
13,57,233,b
13,58,106,b
14,1,119,f
14,2,110,f
14,3,198,f
14,4,214,f
14,5,138,f
14,6,310,f
14,7,310,b
14,8,138,b
14,9,214,b
14,10,198,b
14,11,110,b
14,12,119,b
15,1,191,f
15,2,14,f
15,3,136,f
15,4,240,f
15,5,263,f
15,6,158,f
15,7,110,f
15,8,198,f
15,9,214,f
15,10,138,f
15,11,310,f
15,12,310,b
15,13,138,b
15,14,214,b
15,15,198,b
15,16,58,b
15,17,158,b
15,18,167,b
15,19,263,b
15,20,240,b
15,21,136,b
15,22,14,b
15,23,191,b
17,1,189,f
17,2,120,f
17,3,303,f
17,4,86,f
17,5,123,f
17,6,311,f
17,7,123,f
17,8,247,f
17,9,195,f
17,10,23,f
17,11,71,f
17,12,216,f
17,13,13,f
17,14,16,f
17,15,8,f
17,16,9,b
17,17,5,b
17,18,2,b
17,19,183,b
17,20,197,b
17,21,205,b
17,22,46,b
17,23,226,b
17,24,71,b
17,25,23,b
17,26,195,b
17,27,247,b
17,28,123,b
17,29,311,b
17,30,123,b
17,31,48,b
17,32,217,b
17,33,303,b
17,34,120,b
17,35,189,b
17,36,137,b
18,1,122,f
18,2,121,f
18,3,139,f
18,4,55,f
18,5,247,f
18,6,195,f
18,7,23,f
18,8,145,f
18,9,111,f
18,10,276,f
18,11,87,f
18,12,93,f
18,13,224,f
18,14,222,f
18,15,81,f
18,16,185,f
18,17,84,f
18,18,64,f
